,date,temperatures(C),humidity(%),pressure(hPa),energy
0,2021-01-01 0:00,-1.8,79.0,1018.5,151.040000000037
1,2021-01-01 1:00,-2.9,83.0,1018.2,152.272578125
2,2021-01-01 2:00,-2.9,81.0,1018.2,151.698984375
3,2021-01-01 3:00,-2.8,86.0,1018.6,146.84309374999998
4,2021-01-01 4:00,-2.9,87.0,1018.6,145.53665625000008
5,2021-01-01 5:00,-4.1,93.0,1018.2,149.11868749999996
6,2021-01-01 6:00,-4.8,92.0,1018.4,145.2428125
7,2021-01-01 7:00,-4.3,94.0,1018.9,141.44118749999996
8,2021-01-01 8:00,-3.9,95.0,1018.8,128.28862500000014
9,2021-01-01 9:00,-3.0,95.0,1019.1,128.90774999999985
10,2021-01-01 10:00,-2.5,93.0,1019.6,126.77774999999997
11,2021-01-01 11:00,-0.9,86.0,1019.3,130.34225000000015
12,2021-01-01 12:00,0.4,79.0,1018.4,126.29475000000002
13,2021-01-01 13:00,1.5,74.0,1017.6,129.59199999999987
14,2021-01-01 14:00,1.7,74.0,1017.3,127.5295000000001
15,2021-01-01 15:00,2.8,70.0,1016.8,147.92149999999992
16,2021-01-01 16:00,2.4,63.0,1016.8,158.21762500000023
17,2021-01-01 17:00,2.1,67.0,1016.7,157.3707499999996
18,2021-01-01 18:00,1.1,78.0,1016.7,163.60700000000043
19,2021-01-01 19:00,1.5,72.0,1016.8,165.83199999999988
20,2021-01-01 20:00,1.8,68.0,1017.0,173.43949999999995
21,2021-01-01 21:00,1.1,76.0,1016.9,183.57349999999997
22,2021-01-01 22:00,0.8,84.0,1017.0,165.13925000000017
23,2021-01-01 23:00,0.7,87.0,1016.6,162.4337499999997
24,2021-01-02 0:00,0.7,89.0,1016.6,159.82300000000032
25,2021-01-02 1:00,0.2,95.0,1016.7,157.4359999999997
26,2021-01-02 2:00,0.1,97.0,1016.8,156.84500000000025
27,2021-01-02 3:00,-0.1,98.0,1016.5,146.98124999999982
28,2021-01-02 4:00,0.2,98.0,1016.6,146.1560000000004
29,2021-01-02 5:00,0.0,98.0,1016.4,150.11574999999993
30,2021-01-02 6:00,0.1,98.0,1017.0,141.6954999999998
31,2021-01-02 7:00,0.0,98.0,1017.6,130.0084999999999
32,2021-01-02 8:00,-0.5,97.0,1018.2,120.63550000000032
33,2021-01-02 9:00,-0.3,94.0,1019.1,132.04199999999946
34,2021-01-02 10:00,0.7,79.0,1020.0,129.14699999999993
35,2021-01-02 11:00,1.4,64.0,1020.1,135.97800000000007
36,2021-01-02 12:00,1.5,55.0,1019.8,146.48149999999987
37,2021-01-02 13:00,2.2,48.0,1020.0,145.2520000000004
38,2021-01-02 14:00,2.5,46.0,1019.8,164.40399999999954
39,2021-01-02 15:00,2.4,38.0,1019.5,184.5535000000009
40,2021-01-02 16:00,1.7,33.0,1019.8,183.17099999999937
41,2021-01-02 17:00,0.2,41.0,1021.6,175.51150000000052
42,2021-01-02 18:00,-0.6,48.0,1022.2,196.83399999999983
43,2021-01-02 19:00,-1.0,51.0,1022.3,193.11449999999968
44,2021-01-02 20:00,-1.9,54.0,1022.1,183.81900000000041
45,2021-01-02 21:00,-2.3,54.0,1022.1,179.42000000000007
46,2021-01-02 22:00,-2.6,55.0,1021.7,179.9484999999995
47,2021-01-02 23:00,-3.1,58.0,1022.8,178.01400000000012
48,2021-01-03 0:00,-2.9,57.0,1023.2,169.14800000000014
49,2021-01-03 1:00,-2.6,56.0,1024.1,150.15949999999975
50,2021-01-03 2:00,-2.6,62.0,1024.1,150.28300000000036
51,2021-01-03 3:00,-2.7,59.0,1024.2,151.3119999999999
52,2021-01-03 4:00,-2.6,56.0,1024.0,143.64149999999972
53,2021-01-03 5:00,-2.7,55.0,1024.6,144.77250000000004
54,2021-01-03 6:00,-2.8,56.0,1025.1,143.88650000000052
55,2021-01-03 7:00,-2.9,59.0,1025.1,133.15250000000015
56,2021-01-03 8:00,-3.2,57.0,1024.9,127.54600000000028
57,2021-01-03 9:00,-2.2,52.0,1025.2,131.00900000000001
58,2021-01-03 10:00,-0.7,45.0,1025.9,137.77899999999863
59,2021-01-03 11:00,0.3,42.0,1025.6,150.9290000000001
60,2021-01-03 12:00,1.1,43.0,1025.0,156.37900000000081
61,2021-01-03 13:00,2.3,44.0,1024.0,153.6170000000002
62,2021-01-03 14:00,3.4,42.0,1023.6,157.78399999999965
63,2021-01-03 15:00,2.8,47.0,1023.8,172.79600000000028
64,2021-01-03 16:00,2.3,49.0,1023.5,193.0560000000005
65,2021-01-03 17:00,1.5,51.0,1023.6,197.33199999999852
66,2021-01-03 18:00,0.8,54.0,1023.9,202.50500000000102
67,2021-01-03 19:00,0.5,55.0,1024.0,189.09299999999894
68,2021-01-03 20:00,0.1,58.0,1024.0,179.95900000000074
69,2021-01-03 21:00,-0.3,58.0,1024.1,188.38500000000022
70,2021-01-03 22:00,-0.5,58.0,1024.2,182.28299999999945
71,2021-01-03 23:00,-0.7,61.0,1024.5,185.07899999999972
72,2021-01-04 0:00,-1.3,68.0,1024.3,165.46100000000115
73,2021-01-04 1:00,-1.2,70.0,1024.5,154.26999999999862
74,2021-01-04 2:00,-2.3,74.0,1024.5,150.996000000001
75,2021-01-04 3:00,-2.5,76.0,1024.3,149.08599999999933
76,2021-01-04 4:00,-2.5,77.0,1024.1,145.371000000001
77,2021-01-04 5:00,-2.9,81.0,1023.8,142.2009999999991
78,2021-01-04 6:00,-3.5,84.0,1023.7,143.0490000000009
79,2021-01-04 7:00,-2.8,73.0,1023.0,146.29699999999866
80,2021-01-04 8:00,-2.3,64.0,1021.8,149.0630000000001
81,2021-01-04 9:00,-2.8,83.0,1023.0,159.47600000000057
82,2021-01-04 10:00,-0.7,63.0,1024.1,189.23799999999937
83,2021-01-04 11:00,0.8,56.0,1023.8,197.97600000000057
84,2021-01-04 12:00,3.6,48.0,1022.3,221.03800000000047
85,2021-01-04 13:00,4.7,49.0,1021.7,216.69900000000052
86,2021-01-04 14:00,5.8,46.0,1020.8,226.08199999999852
87,2021-01-04 15:00,6.6,48.0,1020.3,243.91300000000047
88,2021-01-04 16:00,5.6,57.0,1020.0,230.16500000000087
89,2021-01-04 17:00,4.5,61.0,1019.6,0.0
90,2021-01-04 18:00,4.1,62.0,1019.9,264.59799999999996
91,2021-01-04 19:00,3.3,72.0,1020.2,238.38600000000042
92,2021-01-04 20:00,2.7,81.0,1020.0,222.90099999999984
93,2021-01-04 21:00,2.2,83.0,1020.6,209.28499999999985
94,2021-01-04 22:00,1.9,86.0,1020.2,200.55199999999968
95,2021-01-04 23:00,1.4,88.0,1020.1,196.53499999999985
96,2021-01-05 0:00,1.7,90.0,1020.2,179.72900000000118
97,2021-01-05 1:00,1.3,93.0,1019.8,165.6260000000002
98,2021-01-05 2:00,1.2,92.0,1019.8,152.23300000000017
99,2021-01-05 3:00,1.1,92.0,1019.7,146.85699999999997
100,2021-01-05 4:00,1.2,93.0,1019.2,143.09400000000096
101,2021-01-05 5:00,1.2,95.0,1018.4,142.9659999999967
102,2021-01-05 6:00,1.4,94.0,1018.6,140.46900000000096
103,2021-01-05 7:00,1.9,84.0,1020.3,143.8640000000014
104,2021-01-05 8:00,1.1,67.0,1020.6,134.99199999999837
105,2021-01-05 9:00,1.7,62.0,1021.3,159.72200000000157
106,2021-01-05 10:00,2.7,58.0,1021.5,186.64600000000064
107,2021-01-05 11:00,2.9,50.0,1021.9,209.84000000000015
108,2021-01-05 12:00,2.1,54.0,1021.7,230.82200000000012
109,2021-01-05 13:00,1.6,54.0,1020.2,252.15799999999945
110,2021-01-05 14:00,1.3,50.0,1019.0,270.4419999999991
